Attack,0.01,0.05,0.1,0.2,0.3,0.5
Targeted FGSM,23.73,12.70,8.59,8.20,8.79,8.20
Untargeted FGSM,78.32,87.40,89.65,90.53,89.65,90.23
Targeted PGD,75.29,100.00,100.00,100.00,100.00,100.00
Untargeted PGD,99.12,100.00,100.00,100.00,100.00,100.00
